task,item,selection,reaction time
task I,25,list a,5.180
task I,23,list a,1.000
task I,9,list b,1.040
task I,33,list b,1.900
task I,0,list a,1.700
task I,21,list a,1.780
task I,27,list b,1.540
task,item,selection,reaction time
task I,14,1,1.980
task I,47,0,2.040
task I,20,1,1.160
task I,11,1,1.040
task I,5,0,1.000
task,item,selection,reaction time
task I,7,1,0.960
task I,12,1,0.960
task I,8,0,2.040
task,item,selection,reaction time
task,item,selection,reaction time
task,item,selection,reaction time
task,item,selection,reaction time
task I,35,1,2.940
task I,4,0,1.680
task,item,selection,reaction time
task,item,selection,reaction time
task I,46,1,1.760
task I,32,0,1.460
task I,2,1,1.800
task I,3,0,1.300
task I,50,1,0.960
task I,47,0,0.860
task I,35,0,0.960
task I,33,1,0.980
task I,1,0,0.940
task I,43,1,1.000
task I,42,0,0.960
task I,38,1,1.040
task I,45,1,1.060
task I,12,1,1.300
task I,10,0,1.320
task I,48,1,1.080
task I,17,1,1.380
task I,53,1,1.120
task I,41,0,0.980
task I,37,0,0.940
task I,24,1,0.960
task I,14,1,0.860
task I,49,0,0.820
task I,44,0,0.860
task I,31,1,0.880
task I,19,0,1.040
task I,11,1,1.000
task I,34,1,0.940
task I,4,1,0.940
task I,16,1,0.900
task I,0,0,0.900
task I,26,0,0.940
task I,27,0,0.920
task I,21,0,1.440
task I,9,1,1.100
task I,40,0,1.580
task I,7,0,1.000
task I,20,0,0.980
task I,18,1,1.000
task I,30,1,0.860
task I,6,0,0.960
task I,5,1,0.920
task I,29,0,0.880
task I,52,0,0.920
task I,28,1,0.860
task I,25,1,0.900
task I,22,0,0.820
task I,23,0,0.900
task I,36,1,0.880
task I,51,1,0.860
task I,8,1,0.880
task I,39,1,0.920
task I,13,0,0.880
task I,15,0,0.920
task II,12,0,4.140
task II,17,1,0.820
task,item,selection,reaction time
task,item,selection,reaction time
task I,19,1,2.280
task I,23,0,1.700
task I,3,0,1.000
task I,9,1,1.020
task I,15,1,1.040
task I,34,0,0.940
task I,51,1,1.020
task I,39,1,0.880
task I,31,0,0.900
task I,16,0,0.880
task I,7,1,0.760
task I,32,0,0.860
task I,10,0,1.680
task I,40,0,1.380
task I,41,1,1.240
task I,33,1,1.080
task I,38,1,1.460
task I,17,1,1.160
task I,47,0,1.460
task I,18,1,0.980
task I,4,1,1.460
task I,2,1,1.420
task I,8,0,1.100
task I,13,0,0.920
task I,37,1,0.860
task I,29,1,1.260
task I,44,1,0.940
task I,1,1,0.860
task I,52,0,0.880
task I,0,0,0.840
task I,5,1,0.820
task I,14,1,0.820
task I,20,0,1.100
task I,48,1,0.980
task I,46,1,0.960
task I,25,1,1.140
task I,53,0,0.980
task I,26,0,0.940
task I,12,0,0.920
task I,43,1,1.040
task I,22,0,0.860
task I,11,0,0.840
task I,50,1,0.580
task I,6,1,1.040
task I,49,1,0.660
task I,24,0,0.780
task I,28,1,1.020
task I,21,1,0.960
task I,42,0,0.900
task I,35,0,0.840
task I,30,1,1.040
task I,27,0,0.980
task I,36,1,1.080
task I,45,0,1.060
task II,46,0,3.060
task II,25,1,0.800
task II,13,0,0.860
task II,17,0,0.900
task II,51,1,0.920
task II,34,1,0.860
task II,48,0,0.860
task II,0,0,0.960
task II,24,1,1.000
task II,49,0,1.640
task II,19,1,0.900
task II,23,1,0.960
task II,41,1,1.040
task II,26,1,1.080
task II,43,1,0.960
task II,36,1,1.020
task II,6,1,0.940
task II,22,1,0.840
task II,5,0,1.080
task II,3,1,0.980
task II,27,1,1.120
task II,42,1,0.800
task II,14,1,1.120
task II,7,1,0.980
task II,15,1,0.880
task II,16,1,0.900
task II,12,1,0.960
task II,50,0,1.020
task II,45,1,0.940
task II,52,0,1.020
task II,2,0,0.860
task II,38,0,0.940
task II,37,1,1.000
task II,33,1,0.960
task II,11,0,1.040
task II,53,1,1.140
task II,10,1,0.600
task II,40,1,0.860
task II,4,0,1.040
task II,1,1,1.440
task II,39,0,1.000
task II,18,0,1.200
task II,44,0,1.080
task II,8,1,0.840
task II,35,1,0.860
task II,29,0,0.960
task II,20,0,0.880
task II,31,0,0.900
task II,32,0,0.980
task II,9,0,0.860
task II,30,1,0.900
task II,47,1,0.920
task II,21,0,0.940
task II,28,0,0.740
task II,28,0,1.420
task,item,selection,reaction time
task I,52,0,2.480
task I,42,1,0.900
task I,32,1,1.080
task I,38,1,1.600
task I,33,0,0.980
task I,24,1,0.880
task I,49,0,0.920
task I,50,0,0.820
task,item,selection,reaction time
task,item,selection,reaction time
task I,42,1,2.200
task I,3,0,0.940
task I,13,0,1.260
task I,2,0,0.860
task I,37,1,0.580
task I,10,1,1.080
task I,16,0,0.960
task I,1,1,1.000
task I,9,1,0.900
task I,28,1,1.220
task I,43,1,1.040
task I,18,1,1.040
task I,12,0,0.880
task I,30,1,1.020
task I,19,0,1.100
task I,5,0,1.160
task I,40,0,1.020
task I,31,1,0.940
task I,41,0,0.920
task I,46,0,0.880
task I,7,0,1.020
task I,53,0,0.840
task I,21,1,0.800
task I,38,0,1.540
task I,35,1,0.760
task I,14,1,0.680
task I,33,0,1.640
task I,6,0,1.100
task I,34,0,0.880
task I,39,1,1.000
task I,4,0,0.920
task I,26,0,0.960
task I,22,1,1.180
task I,50,1,0.860
task I,25,0,1.140
task I,24,1,1.060
task I,17,0,1.060
task I,15,1,0.960
task I,36,0,0.860
task I,29,1,0.860
task I,49,1,0.840
task I,51,0,0.800
task I,27,0,1.540
task I,23,0,0.860
task I,0,0,0.780
task I,52,0,1.100
task I,45,0,1.080
task I,32,1,0.800
task I,47,0,1.040
task I,8,1,0.560
task I,48,0,1.360
task I,20,1,0.660
task I,11,0,1.360
task I,44,1,0.700
task II,3,0,2.760
task II,53,0,1.460
task II,9,1,1.500
task II,44,1,1.220
task II,7,1,0.980
task II,15,1,0.880
task II,1,0,1.080
task II,39,0,1.800
task II,11,0,0.920
task II,19,0,0.940
task II,42,1,1.060
task II,33,0,1.100
task II,22,0,2.140
task II,28,1,1.020
task II,51,1,0.960
task II,47,0,1.040
task II,45,1,1.060
task II,30,1,1.300
task II,37,0,1.160
task II,50,0,1.120
task II,23,1,1.600
task II,17,0,1.040
task II,40,0,1.140
task II,25,1,0.820
task II,4,1,0.900
task II,5,1,1.580
task II,29,1,1.140
task II,24,1,1.160
task II,27,0,1.040
task II,48,0,1.000
task II,49,0,0.980
task II,52,1,1.080
task II,43,1,1.360
task II,14,0,1.080
task II,16,0,1.040
task II,38,0,1.040
task II,46,0,1.100
task II,10,1,0.920
task II,36,1,0.940
task II,12,0,0.820
task II,0,1,0.860
task II,6,1,0.800
task II,2,0,1.240
task II,21,1,2.040
task II,8,1,1.080
task II,13,0,0.800
task II,34,0,1.440
task II,41,1,1.280
task II,31,0,1.240
task II,32,1,1.320
task II,26,1,1.060
task II,18,1,0.920
task II,20,0,0.820
task II,35,0,1.340
task II,35,0,0.840
task II,35,0,0.780
task II,35,0,1.000
task II,35,0,1.000
task II,35,0,1.080
task,item,selection,reaction time
task I,2,0,2.920
task I,1,1,0.920
task I,0,1,0.960
task I,3,1,0.980
task I,4,0,0.980
task II,1,0,2.140
task II,2,0,0.880
task II,3,0,1.000
task II,4,1,1.020
task II,0,0,0.880
task II,4,1,2.160
task II,2,1,0.980
task II,3,0,0.980
task II,0,1,0.920
task II,1,0,1.060
task II,2,1,2.260
task II,0,0,1.080
task II,3,0,0.980
task II,1,0,0.980
task II,4,1,1.000
task II,2,0,2.240
task,item,selection,reaction time
task I,0,0,1.980
task I,1,1,0.780
task I,2,1,1.100
task I,4,0,0.920
task I,3,1,0.880
task II,1,1,1.840
task II,4,0,0.800
task II,0,0,0.920
task II,2,0,0.800
task II,3,0,0.780
task,item,selection,reaction time
task,item,selection,reaction time
task,item,selection,reaction time
task,item,selection,reaction time
task I,0,,1.260
task,item,selection,reaction time
task,item,selection,reaction time
task I,0,,3.740
task II,0,0,1.580
task II,2,1,2.080
task II,1,0,1.500
task II,3,1,2.060
task II,2,0,1.340
task,item,selection,reaction time
task I,0,,6.240
task,item,selection,reaction time
task,item,selection,reaction time
task I,2,0,12.060
task I,0,1,1.460
task,item,selection,reaction time
task,item,selection,reaction time
task,item,selection,reaction time
task,item,selection,reaction time
task I,1,1,2.140
task I,3,0,1.720
task I,2,0,1.580
task I,4,0,1.740
task,item,selection,reaction time
task I,3,1,1.440
task I,4,0,1.820
task I,2,1,2.100
task I,0,1,1.460
task,item,selection,reaction time
task I,2,1,2.080
task I,1,0,1.680
task I,3,1,1.780
task,item,selection,reaction time
task I,4,0,0.800
task,item,selection,reaction time
task I,0,0,1.400
task,item,selection,reaction time
task I,1,0,23.740
task,item,selection,reaction time
task I,1,0,1.020
task,item,selection,reaction time
task I,4,1,1.380
task,item,selection,reaction time
task I,0,1,1.600
task,item,selection,reaction time
task,item,selection,reaction time
task,item,selection,reaction time
task I,3,0,3.540
task,item,selection,reaction time
task,item,selection,reaction time
task,item,selection,reaction time
task,item,selection,reaction time
task,item,selection,reaction time
task I,0,1,1.460
task,item,selection,reaction time
task I,0,1,1.880
task I,4,0,2.160
task,item,selection,reaction time
task I,4,1,0.660
task I,2,0,3.400
task,item,selection,reaction time
task I,3,0,1.100
task I,4,1,3.100
task,item,selection,reaction time
task I,4,1,1.240
task,item,selection,reaction time
task,item,selection,reaction time
task,item,selection,reaction time
task I,2,1,1.740
task I,4,1,1.980
task I,3,0,2.120
task I,1,0,2.600
task I,0,0,2.280
task,item,selection,reaction time
task I,3,0,1.840
task I,4,1,2.320
task I,2,0,1.940
task,item,selection,reaction time
task,item,selection,reaction time
task I,1,0,1.760
task I,3,1,1.720
task I,4,0,1.300
task I,0,1,1.520
task I,2,1,1.540
task II,4,0,2.640
task II,2,0,2.100
task II,0,0,1.920
task II,1,1,1.580
task II,3,1,1.800
task,item,selection,reaction time
task I,1,0,0.740
task I,2,1,2.780
task,item,selection,reaction time
task I,2,1,1.740
task I,4,0,1.920
task I,1,1,1.900
task I,3,0,1.780
task,item,selection,reaction time
task,item,selection,reaction time
task I,0,0,0.660
task I,3,1,1.500
task I,2,0,1.440
